timestamp_pacific,event_id,event,direction,command,result,argument,source,opcode1,opcode2,nak_code,nak_reason,operational_state,operational_state_name,details
2026-07-26T18:35:16.280-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:35:16.435-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:35:16.435-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:35:16.584-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:35:16.696-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,0,,,0,Idle Normal,
2026-07-26T18:35:16.737-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:35:17.737-07:00,auto_outside_comm_for_run_normal_2,command_sent,outbound,outside_communication,pending,0,schedule,14,0,,,,,
2026-07-26T18:35:17.784-07:00,,link_ack,inbound,outside_communication,ack,,link_layer,14,,,,,,
2026-07-26T18:35:17.896-07:00,,application_ack,inbound,outside_communication,ack,,application_layer,3,14,,,,,
2026-07-26T18:35:17.936-07:00,auto_outside_comm_for_run_normal_2,command_completed,outbound,outside_communication,ok,0,schedule,14,0,,,,,
2026-07-26T18:35:32.945-07:00,run_normal_2,command_sent,outbound,run_normal,pending,0,schedule,2,0,,,,,
2026-07-26T18:35:33.013-07:00,,link_ack,inbound,run_normal,ack,,link_layer,2,,,,,,
2026-07-26T18:35:33.125-07:00,,application_ack,inbound,run_normal,ack,,application_layer,3,2,,,,,
2026-07-26T18:35:33.166-07:00,run_normal_2,command_completed,outbound,run_normal,ok,0,schedule,2,0,,,,,
2026-07-26T18:36:16.185-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:36:16.302-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:36:16.472-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:36:16.472-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:36:16.622-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
